model,balancing,class_weight,pearson_top,spearman_top,mutual_info_top,model_importance_top,shap_importance_top
KNN,None,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,None,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,Undersampling,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,Undersampling,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,SMOTE,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,SMOTE,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,SMOTE_Tomek,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,SMOTE_Tomek,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,ClusterCentroids,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
KNN,ClusterCentroids,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'Time', 1: 'V1', 2: 'V2', 3: 'V3', 4: 'V4', 5: 'V5', 6: 'V6', 7: 'V7', 8: 'V8', 9: 'V9'}, 'importance': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}}",None
Logistic Regression,None,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V25', 1: 'V15', 2: 'V14', 3: 'V22', 4: 'V21', 5: 'V4', 6: 'V3', 7: 'V10', 8: 'V11', 9: 'V13'}, 'importance': {0: 1.1015623585012513, 1: 0.894214203367316, 2: 0.8328684569064916, 3: 0.8256905310076186, 4: 0.7090635231197663, 5: 0.6896345786370535, 6: 0.5883688167852378, 7: 0.5852871577473384, 8: 0.5561019645033715, 9: 0.5459412490495575}}","{'feature': {0: 'Time', 4: 'V4', 3: 'V3', 15: 'V15', 14: 'V14', 22: 'V22', 11: 'V11', 25: 'V25', 13: 'V13', 10: 'V10'}, 'shap_importance': {0: 1.5325855804501796, 4: 0.7367886036778163, 3: 0.6780493342628278, 15: 0.649184020520015, 14: 0.5478351894391977, 22: 0.4846006622281059, 11: 0.46706374474339307, 25: 0.44463404866759193, 13: 0.4277558140686858, 10: 0.41147064245776693}}"
Logistic Regression,None,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V4', 2: 'V22', 3: 'V10', 4: 'V16', 5: 'V12', 6: 'V17', 7: 'V8', 8: 'V25', 9: 'V13'}, 'importance': {0: 1.2637232287655784, 1: 0.9793885918513137, 2: 0.8854704734840377, 3: 0.7709348881606527, 4: 0.6992067905811323, 5: 0.634645192797863, 6: 0.5845592066383412, 7: 0.5673589989971585, 8: 0.528648416605972, 9: 0.47443415340999306}}","{'feature': {4: 'V4', 0: 'Time', 14: 'V14', 10: 'V10', 22: 'V22', 12: 'V12', 16: 'V16', 1: 'V1', 13: 'V13', 3: 'V3'}, 'shap_importance': {4: 1.046354657091357, 0: 1.0231893386629067, 14: 0.8312381729534515, 10: 0.5419853648343871, 22: 0.5196857196729069, 12: 0.45212122038020364, 16: 0.4509710937048048, 1: 0.40217439325228316, 13: 0.3717285841053158, 3: 0.3538323894946556}}"
Logistic Regression,Undersampling,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V12', 2: 'V4', 3: 'V8', 4: 'V16', 5: 'V17', 6: 'V22', 7: 'V20', 8: 'V23', 9: 'V10'}, 'importance': {0: 1.6305022986260258, 1: 1.1234169373341276, 2: 1.0557415905366672, 3: 0.7091922644751698, 4: 0.617894389146204, 5: 0.5355502387525942, 6: 0.5338563009407743, 7: 0.5280999994584689, 8: 0.5260352843988837, 9: 0.4783559931058537}}","{'feature': {14: 'V14', 12: 'V12', 4: 'V4', 17: 'V17', 3: 'V3', 16: 'V16', 8: 'V8', 10: 'V10', 1: 'V1', 2: 'V2'}, 'shap_importance': {14: 6.479625107870771, 12: 4.007591107667695, 4: 2.7401477663697116, 17: 2.311184179792435, 3: 1.736490269381727, 16: 1.5797838026988904, 8: 1.562423942261363, 10: 1.5574609880763304, 1: 1.0820959600682485, 2: 0.9706085774445287}}"
Logistic Regression,Undersampling,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V12', 2: 'V4', 3: 'V8', 4: 'V16', 5: 'V17', 6: 'V22', 7: 'V20', 8: 'V23', 9: 'V10'}, 'importance': {0: 1.6305022986260258, 1: 1.1234169373341276, 2: 1.0557415905366672, 3: 0.7091922644751698, 4: 0.617894389146204, 5: 0.5355502387525942, 6: 0.5338563009407743, 7: 0.5280999994584689, 8: 0.5260352843988837, 9: 0.4783559931058537}}","{'feature': {14: 'V14', 12: 'V12', 4: 'V4', 17: 'V17', 3: 'V3', 16: 'V16', 8: 'V8', 10: 'V10', 1: 'V1', 2: 'V2'}, 'shap_importance': {14: 6.479625107870771, 12: 4.007591107667695, 4: 2.7401477663697116, 17: 2.311184179792435, 3: 1.736490269381727, 16: 1.5797838026988904, 8: 1.562423942261363, 10: 1.5574609880763304, 1: 1.0820959600682485, 2: 0.9706085774445287}}"
