model,balancing,class_weight,pearson_top,spearman_top,mutual_info_top,model_importance_top,shap_importance_top
Logistic Regression,SMOTE,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V17', 2: 'V12', 3: 'V10', 4: 'V4', 5: 'V16', 6: 'V22', 7: 'V9', 8: 'V25', 9: 'V11'}, 'importance': {0: 2.1264583392547407, 1: 1.8960209479154468, 2: 1.5633841644391624, 3: 1.54233377179286, 4: 1.1722231368672262, 5: 1.1315644813910632, 6: 0.9060538171552475, 7: 0.8757438561808935, 8: 0.8240448301413624, 9: 0.82221155540233}}","{'feature': {17: 'V17', 14: 'V14', 12: 'V12', 10: 'V10', 4: 'V4', 16: 'V16', 1: 'V1', 11: 'V11', 8: 'V8', 9: 'V9'}, 'shap_importance': {17: 8.033186236928715, 14: 8.003760088487564, 12: 5.420134023859418, 10: 4.87971258616092, 4: 2.9545123146212884, 16: 2.863305037606553, 1: 1.905747772718001, 11: 1.7305986355565044, 8: 1.4792584428190643, 9: 1.4023327102028862}}"
Logistic Regression,SMOTE,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V17', 2: 'V12', 3: 'V10', 4: 'V4', 5: 'V16', 6: 'V22', 7: 'V9', 8: 'V25', 9: 'V11'}, 'importance': {0: 2.1264583392547407, 1: 1.8960209479154468, 2: 1.5633841644391624, 3: 1.54233377179286, 4: 1.1722231368672262, 5: 1.1315644813910632, 6: 0.9060538171552475, 7: 0.8757438561808935, 8: 0.8240448301413624, 9: 0.82221155540233}}","{'feature': {17: 'V17', 14: 'V14', 12: 'V12', 10: 'V10', 4: 'V4', 16: 'V16', 1: 'V1', 11: 'V11', 8: 'V8', 9: 'V9'}, 'shap_importance': {17: 8.033186236928715, 14: 8.003760088487564, 12: 5.420134023859418, 10: 4.87971258616092, 4: 2.9545123146212884, 16: 2.863305037606553, 1: 1.905747772718001, 11: 1.7305986355565044, 8: 1.4792584428190643, 9: 1.4023327102028862}}"
Logistic Regression,SMOTE_Tomek,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V17', 2: 'V12', 3: 'V16', 4: 'V10', 5: 'V4', 6: 'V22', 7: 'V25', 8: 'V9', 9: 'V13'}, 'importance': {0: 2.393431429257739, 1: 2.080383732264866, 2: 1.4463085325204053, 3: 1.2897439977357372, 4: 1.2829131555786066, 5: 1.1222841002569044, 6: 1.0842350516974688, 7: 0.8963919972195502, 8: 0.893206165151907, 9: 0.8151352561730008}}","{'feature': {14: 'V14', 17: 'V17', 12: 'V12', 10: 'V10', 16: 'V16', 4: 'V4', 3: 'V3', 1: 'V1', 9: 'V9', 8: 'V8'}, 'shap_importance': {14: 9.430325819104205, 17: 9.079017447352694, 12: 5.340889741768563, 10: 4.330454988068828, 16: 3.4035544965252105, 4: 2.9593195257661815, 3: 2.3198973441376993, 1: 1.5987192303624798, 9: 1.4739951552711934, 8: 1.3682578462241635}}"
Logistic Regression,SMOTE_Tomek,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V17', 2: 'V12', 3: 'V16', 4: 'V10', 5: 'V4', 6: 'V22', 7: 'V25', 8: 'V9', 9: 'V13'}, 'importance': {0: 2.393431429257739, 1: 2.080383732264866, 2: 1.4463085325204053, 3: 1.2897439977357372, 4: 1.2829131555786066, 5: 1.1222841002569044, 6: 1.0842350516974688, 7: 0.8963919972195502, 8: 0.893206165151907, 9: 0.8151352561730008}}","{'feature': {14: 'V14', 17: 'V17', 12: 'V12', 10: 'V10', 16: 'V16', 4: 'V4', 3: 'V3', 1: 'V1', 9: 'V9', 8: 'V8'}, 'shap_importance': {14: 9.430325819104205, 17: 9.079017447352694, 12: 5.340889741768563, 10: 4.330454988068828, 16: 3.4035544965252105, 4: 2.9593195257661815, 3: 2.3198973441376993, 1: 1.5987192303624798, 9: 1.4739951552711934, 8: 1.3682578462241635}}"
Logistic Regression,ClusterCentroids,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V4', 1: 'V14', 2: 'V10', 3: 'V13', 4: 'V22', 5: 'V6', 6: 'V16', 7: 'V26', 8: 'V18', 9: 'V7'}, 'importance': {0: 2.8431175234240755, 1: 1.9431262190453973, 2: 1.5226123404404224, 3: 1.3945012213736478, 4: 1.3047389956366622, 5: 1.1472600908197466, 6: 1.003906451157814, 7: 0.7948824448923785, 8: 0.7625908819431316, 9: 0.6503701013843044}}","{'feature': {14: 'V14', 4: 'V4', 10: 'V10', 7: 'V7', 16: 'V16', 1: 'V1', 6: 'V6', 3: 'V3', 5: 'V5', 18: 'V18'}, 'shap_importance': {14: 7.722205002105321, 4: 7.524209787060835, 10: 4.981894490308379, 7: 3.0457302804461674, 16: 2.7058070176415105, 1: 2.0772492750364124, 6: 1.970596626034902, 3: 1.5973023104066648, 5: 1.2702703561390094, 18: 1.1978747984838067}}"
Logistic Regression,ClusterCentroids,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V4', 1: 'V14', 2: 'V10', 3: 'V13', 4: 'V22', 5: 'V6', 6: 'V16', 7: 'V26', 8: 'V18', 9: 'V7'}, 'importance': {0: 2.8431175234240755, 1: 1.9431262190453973, 2: 1.5226123404404224, 3: 1.3945012213736478, 4: 1.3047389956366622, 5: 1.1472600908197466, 6: 1.003906451157814, 7: 0.7948824448923785, 8: 0.7625908819431316, 9: 0.6503701013843044}}","{'feature': {14: 'V14', 4: 'V4', 10: 'V10', 7: 'V7', 16: 'V16', 1: 'V1', 6: 'V6', 3: 'V3', 5: 'V5', 18: 'V18'}, 'shap_importance': {14: 7.722205002105321, 4: 7.524209787060835, 10: 4.981894490308379, 7: 3.0457302804461674, 16: 2.7058070176415105, 1: 2.0772492750364124, 6: 1.970596626034902, 3: 1.5973023104066648, 5: 1.2702703561390094, 18: 1.1978747984838067}}"
Random Forest,None,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V17', 1: 'V14', 2: 'V12', 3: 'V10', 4: 'V16', 5: 'V11', 6: 'V9', 7: 'V4', 8: 'V18', 9: 'V7'}, 'importance': {0: 0.17032464398599656, 1: 0.136363302293682, 2: 0.13332605926400004, 3: 0.07407348013162479, 4: 0.07179221419070769, 5: 0.045277296058152394, 6: 0.031126732639842256, 7: 0.030496322139884714, 8: 0.028156246497012868, 9: 0.024627129135368978}}",None
Random Forest,None,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V10', 2: 'V12', 3: 'V4', 4: 'V17', 5: 'V3', 6: 'V11', 7: 'V16', 8: 'V2', 9: 'V9'}, 'importance': {0: 0.1798566292662829, 1: 0.11544243080218056, 2: 0.09620640675639695, 3: 0.09564638973813987, 4: 0.09511264838374607, 5: 0.0686694650035517, 6: 0.056112333944723085, 7: 0.040302500073390465, 8: 0.036264568704660397, 9: 0.026887872965560645}}",None
Random Forest,Undersampling,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V10', 2: 'V4', 3: 'V12', 4: 'V17', 5: 'V3', 6: 'V2', 7: 'V7', 8: 'V11', 9: 'V16'}, 'importance': {0: 0.19264010575923937, 1: 0.1183843922135595, 2: 0.09974240690326742, 3: 0.0940491988225334, 4: 0.08850438177507747, 5: 0.050558082701233624, 6: 0.0441639702175726, 7: 0.04066470801485887, 8: 0.038851799210489674, 9: 0.03445821125155919}}",None
Random Forest,Undersampling,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V10', 2: 'V4', 3: 'V12', 4: 'V17', 5: 'V3', 6: 'V2', 7: 'V7', 8: 'V11', 9: 'V16'}, 'importance': {0: 0.19264010575923937, 1: 0.1183843922135595, 2: 0.09974240690326742, 3: 0.0940491988225334, 4: 0.08850438177507747, 5: 0.050558082701233624, 6: 0.0441639702175726, 7: 0.04066470801485887, 8: 0.038851799210489674, 9: 0.03445821125155919}}",None
Random Forest,SMOTE,None,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V10', 2: 'V4', 3: 'V12', 4: 'V17', 5: 'V3', 6: 'V11', 7: 'V16', 8: 'V2', 9: 'V9'}, 'importance': {0: 0.21701297720617255, 1: 0.1197966254181374, 2: 0.11678891644786155, 3: 0.107500773154432, 4: 0.08624817750325686, 5: 0.07086037094249001, 6: 0.05047183132893574, 7: 0.04009596605107883, 8: 0.038845133841653896, 9: 0.028276692926234845}}",None
Random Forest,SMOTE,Balanced,"{11: 0.15370859892873284, 4: 0.13501392328793757, 2: 0.09058557450957187, 21: 0.035588253315357025, 19: 0.03237970130067274, 8: 0.02055210208651502, 20: 0.01938541429219227, 27: 0.016034457673705607, 28: 0.009809686547343386, 29: 0.006210969933221341}","{4: 0.06358030267593197, 11: 0.05938899698508365, 2: 0.05097548038162997, 21: 0.035342296474052876, 27: 0.027476777007495092, 8: 0.02399445409576396, 28: 0.021230811293554266, 19: 0.0203829501516154, 20: 0.019973410592419305, 26: 0.005062677799959741}","{'V14': 0.0081352773359461, 'V17': 0.008098974712772211, 'V12': 0.007534426302569952, 'V10': 0.007517714596509406, 'V11': 0.006684594394864796, 'V16': 0.005929638433645579, 'V4': 0.005072768728777932, 'V3': 0.004938654529520692, 'V9': 0.004317941841810002, 'V18': 0.004151303287768027}","{'feature': {0: 'V14', 1: 'V10', 2: 'V4', 3: 'V12', 4: 'V17', 5: 'V3', 6: 'V11', 7: 'V16', 8: 'V2', 9: 'V9'}, 'importance': {0: 0.21701297720617255, 1: 0.1197966254181374, 2: 0.11678891644786155, 3: 0.107500773154432, 4: 0.08624817750325686, 5: 0.07086037094249001, 6: 0.05047183132893574, 7: 0.04009596605107883, 8: 0.038845133841653896, 9: 0.028276692926234845}}",None
