train_size,balancing,top_features,shap_stats
Default,None,"[{'feature': 'V17', 'importance': 0.17032464398288696}, {'feature': 'V14', 'importance': 0.13636330229328408}, {'feature': 'V12', 'importance': 0.13332605926400004}, {'feature': 'V10', 'importance': 0.07407348012797395}, {'feature': 'V16', 'importance': 0.07179221419070769}, {'feature': 'V11', 'importance': 0.04527729605811848}, {'feature': 'V9', 'importance': 0.031126732639842256}, {'feature': 'V4', 'importance': 0.030496322139884714}, {'feature': 'V18', 'importance': 0.028156246497012868}, {'feature': 'V7', 'importance': 0.02462712913531723}]","{'shap_importance': V17    0.002883
V14    0.000870
V10    0.000531
V4     0.000475
V1     0.000409
V12    0.000406
V26    0.000301
V28    0.000255
V11    0.000205
V2     0.000170
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
317       V14       V17     0.000337
55         V1       V28     0.000222
251       V10       V17     0.000161
344       V16       V17     0.000123
122        V4       V17     0.000109
365       V17       V26     0.000100
29         V1        V2     0.000099
246       V10       V12     0.000097
427       V25       V28     0.000092
52         V1       V25     0.000092, 'interaction_global_median':     feature_1 feature_2  interaction
55         V1       V28     0.000078
248       V10       V14     0.000056
283       V12       V14     0.000052
286       V12       V17     0.000040
29         V1        V2     0.000038
246       V10       V12     0.000036
31         V1        V4     0.000035
122        V4       V17     0.000032
317       V14       V17     0.000030
115        V4       V10     0.000029, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
317       V14       V17     0.000337
55         V1       V28     0.000222
251       V10       V17     0.000161
344       V16       V17     0.000123
122        V4       V17     0.000109
365       V17       V26     0.000100
29         V1        V2     0.000099
246       V10       V12     0.000097
427       V25       V28     0.000092
52         V1       V25     0.000092, 'interaction_normal_median':     feature_1 feature_2  interaction
55         V1       V28     0.000078
248       V10       V14     0.000056
283       V12       V14     0.000052
286       V12       V17     0.000040
29         V1        V2     0.000038
246       V10       V12     0.000036
31         V1        V4     0.000035
122        V4       V17     0.000032
317       V14       V17     0.000030
115        V4       V10     0.000029}"
Default,SMOTE_Tomek,"[{'feature': 'V14', 'importance': 0.21094462508616568}, {'feature': 'V10', 'importance': 0.12039900650763365}, {'feature': 'V4', 'importance': 0.11999006272684412}, {'feature': 'V12', 'importance': 0.10581334428922036}, {'feature': 'V17', 'importance': 0.08772528123757108}, {'feature': 'V3', 'importance': 0.07657721735573855}, {'feature': 'V11', 'importance': 0.04922786396325301}, {'feature': 'V16', 'importance': 0.040935342082511726}, {'feature': 'V2', 'importance': 0.03856099291119959}, {'feature': 'V9', 'importance': 0.026028070490341868}]","{'shap_importance': V14    0.086936
V4     0.086695
V12    0.080000
V10    0.047151
V3     0.045009
V11    0.037190
V17    0.035547
V16    0.020293
V1     0.012912
V2     0.012028
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
283       V12       V14     0.021161
119        V4       V14     0.020946
117        V4       V12     0.020339
246       V10       V12     0.013876
92         V3       V12     0.013635
248       V10       V14     0.011917
84         V3        V4     0.011565
94         V3       V14     0.010898
116        V4       V11     0.010535
115        V4       V10     0.010106, 'interaction_global_median':     feature_1 feature_2  interaction
283       V12       V14     0.016473
119        V4       V14     0.013902
117        V4       V12     0.012598
248       V10       V14     0.011545
246       V10       V12     0.011510
92         V3       V12     0.008990
286       V12       V17     0.007017
264       V11       V12     0.006755
115        V4       V10     0.006524
90         V3       V10     0.005723, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
283       V12       V14     0.021161
119        V4       V14     0.020946
117        V4       V12     0.020339
246       V10       V12     0.013876
92         V3       V12     0.013635
248       V10       V14     0.011917
84         V3        V4     0.011565
94         V3       V14     0.010898
116        V4       V11     0.010535
115        V4       V10     0.010106, 'interaction_normal_median':     feature_1 feature_2  interaction
283       V12       V14     0.016473
119        V4       V14     0.013902
117        V4       V12     0.012598
248       V10       V14     0.011545
246       V10       V12     0.011510
92         V3       V12     0.008990
286       V12       V17     0.007017
264       V11       V12     0.006755
115        V4       V10     0.006524
90         V3       V10     0.005723}"
1%,None,"[{'feature': 'V14', 'importance': 0.19965985046948287}, {'feature': 'V17', 'importance': 0.14069840866508762}, {'feature': 'V10', 'importance': 0.12427210600516374}, {'feature': 'V16', 'importance': 0.1197342063233253}, {'feature': 'V12', 'importance': 0.08801945588371911}, {'feature': 'V11', 'importance': 0.05720430101784707}, {'feature': 'V7', 'importance': 0.03442538501729535}, {'feature': 'V18', 'importance': 0.022280548842062955}, {'feature': 'V4', 'importance': 0.020825635542020854}, {'feature': 'V19', 'importance': 0.020201172372137186}]","{'shap_importance': V10    0.001099
V17    0.001006
V14    0.000405
V16    0.000342
V12    0.000194
V11    0.000145
V7     0.000122
V3     0.000107
V21    0.000096
V6     0.000088
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
174        V6       V22     0.000043
207        V8       V12     0.000042
231        V9       V16     0.000042
64         V2       V10     0.000038
255       V10       V21     0.000037
251       V10       V17     0.000034
345       V16       V18     0.000034
107        V3       V27     0.000031
190        V7       V16     0.000031
97         V3       V17     0.000031, 'interaction_global_median':     feature_1 feature_2  interaction
207        V8       V12     0.000027
188        V7       V14     0.000020
264       V11       V12     0.000018
30         V1        V3     0.000017
13       Time       V14     0.000015
190        V7       V16     0.000013
282       V12       V13     0.000013
64         V2       V10     0.000013
184        V7       V10     0.000013
245       V10       V11     0.000013, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
174        V6       V22     0.000043
207        V8       V12     0.000042
231        V9       V16     0.000042
64         V2       V10     0.000038
255       V10       V21     0.000037
251       V10       V17     0.000034
345       V16       V18     0.000034
107        V3       V27     0.000031
190        V7       V16     0.000031
97         V3       V17     0.000031, 'interaction_normal_median':     feature_1 feature_2  interaction
207        V8       V12     0.000027
188        V7       V14     0.000020
264       V11       V12     0.000018
30         V1        V3     0.000017
13       Time       V14     0.000015
190        V7       V16     0.000013
282       V12       V13     0.000013
64         V2       V10     0.000013
184        V7       V10     0.000013
245       V10       V11     0.000013}"
2%,None,"[{'feature': 'V17', 'importance': 0.14677579272446023}, {'feature': 'V16', 'importance': 0.14290895407078286}, {'feature': 'V14', 'importance': 0.13370196778713164}, {'feature': 'V10', 'importance': 0.10358386892881662}, {'feature': 'V12', 'importance': 0.09668213812415512}, {'feature': 'V11', 'importance': 0.04964963398597927}, {'feature': 'V3', 'importance': 0.033000615444290574}, {'feature': 'V18', 'importance': 0.02902535279106224}, {'feature': 'V4', 'importance': 0.027458706629567686}, {'feature': 'V2', 'importance': 0.024831722375766217}]","{'shap_importance': V17    0.001220
V10    0.000563
V14    0.000452
V16    0.000245
V2     0.000210
V4     0.000174
V12    0.000174
V1     0.000145
V11    0.000134
V18    0.000085
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
29         V1        V2     0.000162
61         V2        V7     0.000079
34         V1        V7     0.000077
115        V4       V10     0.000062
255       V10       V21     0.000043
191        V7       V17     0.000038
248       V10       V14     0.000036
77         V2       V23     0.000033
245       V10       V11     0.000032
348       V16       V21     0.000027, 'interaction_global_median':     feature_1 feature_2  interaction
29         V1        V2     0.000098
34         V1        V7     0.000085
61         V2        V7     0.000045
124        V4       V19     0.000017
248       V10       V14     0.000016
50         V1       V23     0.000015
325       V14       V25     0.000013
92         V3       V12     0.000012
209        V8       V14     0.000011
117        V4       V12     0.000011, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
29         V1        V2     0.000162
61         V2        V7     0.000079
34         V1        V7     0.000077
115        V4       V10     0.000062
255       V10       V21     0.000043
191        V7       V17     0.000038
248       V10       V14     0.000036
77         V2       V23     0.000033
245       V10       V11     0.000032
348       V16       V21     0.000027, 'interaction_normal_median':     feature_1 feature_2  interaction
29         V1        V2     0.000098
34         V1        V7     0.000085
61         V2        V7     0.000045
124        V4       V19     0.000017
248       V10       V14     0.000016
50         V1       V23     0.000015
325       V14       V25     0.000013
92         V3       V12     0.000012
209        V8       V14     0.000011
117        V4       V12     0.000011}"
2%,SMOTE_Tomek,"[{'feature': 'V14', 'importance': 0.21909985713461091}, {'feature': 'V10', 'importance': 0.1592404754222641}, {'feature': 'V3', 'importance': 0.13465181390959094}, {'feature': 'V11', 'importance': 0.07890149227863395}, {'feature': 'V7', 'importance': 0.06606308356807444}, {'feature': 'V17', 'importance': 0.06588927533325495}, {'feature': 'V16', 'importance': 0.05891042389244094}, {'feature': 'V2', 'importance': 0.0562723865828777}, {'feature': 'V12', 'importance': 0.05458070741660098}, {'feature': 'V4', 'importance': 0.03784841202167952}]","{'shap_importance': V14    0.132932
V10    0.091562
V3     0.052583
V11    0.037414
V7     0.036252
V12    0.027464
V16    0.021675
V17    0.019387
V4     0.019219
V2     0.019039
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
248       V10       V14     0.023101
90         V3       V10     0.014670
245       V10       V11     0.012686
94         V3       V14     0.009384
188        V7       V14     0.008892
115        V4       V10     0.008417
91         V3       V11     0.008185
266       V11       V14     0.007336
87         V3        V7     0.007294
97         V3       V17     0.006649, 'interaction_global_median':     feature_1 feature_2  interaction
248       V10       V14     0.023910
90         V3       V10     0.015350
245       V10       V11     0.013930
94         V3       V14     0.009539
115        V4       V10     0.008858
91         V3       V11     0.008635
266       V11       V14     0.007618
188        V7       V14     0.007505
87         V3        V7     0.007436
97         V3       V17     0.007030, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
248       V10       V14     0.023101
90         V3       V10     0.014670
245       V10       V11     0.012686
94         V3       V14     0.009384
188        V7       V14     0.008892
115        V4       V10     0.008417
91         V3       V11     0.008185
266       V11       V14     0.007336
87         V3        V7     0.007294
97         V3       V17     0.006649, 'interaction_normal_median':     feature_1 feature_2  interaction
248       V10       V14     0.023910
90         V3       V10     0.015350
245       V10       V11     0.013930
94         V3       V14     0.009539
115        V4       V10     0.008858
91         V3       V11     0.008635
266       V11       V14     0.007618
188        V7       V14     0.007505
87         V3        V7     0.007436
97         V3       V17     0.007030}"
5%,None,"[{'feature': 'V17', 'importance': 0.16652462814789643}, {'feature': 'V14', 'importance': 0.143309427138273}, {'feature': 'V10', 'importance': 0.11621590231263196}, {'feature': 'V16', 'importance': 0.10589803573797402}, {'feature': 'V12', 'importance': 0.08339122228527021}, {'feature': 'V11', 'importance': 0.06535740557330641}, {'feature': 'V18', 'importance': 0.031834671132652044}, {'feature': 'V4', 'importance': 0.03030329821842008}, {'feature': 'V9', 'importance': 0.029200659854337126}, {'feature': 'V7', 'importance': 0.027452214719983558}]","{'shap_importance': V17    0.002120
V10    0.001122
V14    0.000492
V16    0.000354
V11    0.000215
V12    0.000208
V4     0.000179
V24    0.000146
V3     0.000143
V18    0.000114
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
258       V10       V24     0.000142
162        V6       V10     0.000091
245       V10       V11     0.000063
190        V7       V16     0.000055
252       V10       V18     0.000053
251       V10       V17     0.000048
96         V3       V16     0.000044
246       V10       V12     0.000042
344       V16       V17     0.000041
71         V2       V17     0.000038, 'interaction_global_median':     feature_1 feature_2  interaction
248       V10       V14     0.000022
30         V1        V3     0.000022
188        V7       V14     0.000018
209        V8       V14     0.000017
245       V10       V11     0.000017
258       V10       V24     0.000014
119        V4       V14     0.000013
162        V6       V10     0.000012
71         V2       V17     0.000012
283       V12       V14     0.000011, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
258       V10       V24     0.000142
162        V6       V10     0.000091
245       V10       V11     0.000063
190        V7       V16     0.000055
252       V10       V18     0.000053
251       V10       V17     0.000048
96         V3       V16     0.000044
246       V10       V12     0.000042
344       V16       V17     0.000041
71         V2       V17     0.000038, 'interaction_normal_median':     feature_1 feature_2  interaction
248       V10       V14     0.000022
30         V1        V3     0.000022
188        V7       V14     0.000018
209        V8       V14     0.000017
245       V10       V11     0.000017
258       V10       V24     0.000014
119        V4       V14     0.000013
162        V6       V10     0.000012
71         V2       V17     0.000012
283       V12       V14     0.000011}"
5%,SMOTE_Tomek,"[{'feature': 'V14', 'importance': 0.2189766527640587}, {'feature': 'V10', 'importance': 0.12870764461583084}, {'feature': 'V17', 'importance': 0.10235380610661214}, {'feature': 'V12', 'importance': 0.0999969137158805}, {'feature': 'V4', 'importance': 0.0924035177628162}, {'feature': 'V11', 'importance': 0.08938929076148987}, {'feature': 'V3', 'importance': 0.08107038512512268}, {'feature': 'V9', 'importance': 0.04323437560718329}, {'feature': 'V2', 'importance': 0.03234246806596084}, {'feature': 'V7', 'importance': 0.02774007981816147}]","{'shap_importance': V14    0.101899
V4     0.065572
V11    0.060169
V12    0.055050
V3     0.047758
V10    0.045954
V17    0.036028
V9     0.034068
V15    0.013382
V7     0.010419
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
119        V4       V14     0.027707
266       V11       V14     0.022950
283       V12       V14     0.018957
94         V3       V14     0.015977
92         V3       V12     0.014700
229        V9       V14     0.012925
116        V4       V11     0.012700
245       V10       V11     0.011659
264       V11       V12     0.011534
115        V4       V10     0.010934, 'interaction_global_median':     feature_1 feature_2  interaction
119        V4       V14     0.029562
266       V11       V14     0.025562
283       V12       V14     0.019249
94         V3       V14     0.018442
92         V3       V12     0.015794
116        V4       V11     0.014237
245       V10       V11     0.012630
115        V4       V10     0.011808
264       V11       V12     0.011319
84         V3        V4     0.011193, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
119        V4       V14     0.027707
266       V11       V14     0.022950
283       V12       V14     0.018957
94         V3       V14     0.015977
92         V3       V12     0.014700
229        V9       V14     0.012925
116        V4       V11     0.012700
245       V10       V11     0.011659
264       V11       V12     0.011534
115        V4       V10     0.010934, 'interaction_normal_median':     feature_1 feature_2  interaction
119        V4       V14     0.029562
266       V11       V14     0.025562
283       V12       V14     0.019249
94         V3       V14     0.018442
92         V3       V12     0.015794
116        V4       V11     0.014237
245       V10       V11     0.012630
115        V4       V10     0.011808
264       V11       V12     0.011319
84         V3        V4     0.011193}"
10%,None,"[{'feature': 'V17', 'importance': 0.1629567686824403}, {'feature': 'V14', 'importance': 0.12542032221774987}, {'feature': 'V10', 'importance': 0.12247818584495493}, {'feature': 'V16', 'importance': 0.10177343354407244}, {'feature': 'V12', 'importance': 0.0897253416896174}, {'feature': 'V11', 'importance': 0.058188831444766075}, {'feature': 'V3', 'importance': 0.02765556910123495}, {'feature': 'V4', 'importance': 0.027520877878370088}, {'feature': 'V9', 'importance': 0.026318967827476857}, {'feature': 'V18', 'importance': 0.024607286155278116}]","{'shap_importance': V17    0.002168
V10    0.000852
V14    0.000548
V12    0.000252
V16    0.000252
V11    0.000238
V2     0.000224
V4     0.000220
V1     0.000162
V7     0.000126
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
248       V10       V14     0.000140
29         V1        V2     0.000134
61         V2        V7     0.000133
34         V1        V7     0.000127
331       V15       V17     0.000086
251       V10       V17     0.000074
246       V10       V12     0.000067
344       V16       V17     0.000065
162        V6       V10     0.000062
245       V10       V11     0.000060, 'interaction_global_median':     feature_1 feature_2  interaction
248       V10       V14     0.000069
245       V10       V11     0.000036
30         V1        V3     0.000019
344       V16       V17     0.000018
203        V7    Amount     0.000017
145        V5       V16     0.000015
143        V5       V14     0.000015
317       V14       V17     0.000013
97         V3       V17     0.000012
136        V5        V7     0.000012, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
248       V10       V14     0.000140
29         V1        V2     0.000134
61         V2        V7     0.000133
34         V1        V7     0.000127
331       V15       V17     0.000086
251       V10       V17     0.000074
246       V10       V12     0.000067
344       V16       V17     0.000065
162        V6       V10     0.000062
245       V10       V11     0.000060, 'interaction_normal_median':     feature_1 feature_2  interaction
248       V10       V14     0.000069
245       V10       V11     0.000036
30         V1        V3     0.000019
344       V16       V17     0.000018
203        V7    Amount     0.000017
145        V5       V16     0.000015
143        V5       V14     0.000015
317       V14       V17     0.000013
97         V3       V17     0.000012
136        V5        V7     0.000012}"
10%,SMOTE_Tomek,"[{'feature': 'V14', 'importance': 0.21925010877361}, {'feature': 'V10', 'importance': 0.15011844758592602}, {'feature': 'V12', 'importance': 0.09766805315634677}, {'feature': 'V4', 'importance': 0.09306967853600585}, {'feature': 'V11', 'importance': 0.08638100626087995}, {'feature': 'V17', 'importance': 0.08065697572192007}, {'feature': 'V3', 'importance': 0.0731214060801521}, {'feature': 'V2', 'importance': 0.04398364185251641}, {'feature': 'V7', 'importance': 0.032463518753132505}, {'feature': 'V9', 'importance': 0.02982030712367971}]","{'shap_importance': V14    0.114280
V11    0.064540
V4     0.058712
V12    0.057484
V10    0.057243
V3     0.039004
V9     0.031005
V17    0.023983
V7     0.015692
V2     0.013284
dtype: float64, 'interaction_global_mean':     feature_1 feature_2  interaction
266       V11       V14     0.027807
119        V4       V14     0.027221
248       V10       V14     0.022993
283       V12       V14     0.021320
94         V3       V14     0.016204
245       V10       V11     0.014690
116        V4       V11     0.013556
229        V9       V14     0.012765
115        V4       V10     0.011883
264       V11       V12     0.011633, 'interaction_global_median':     feature_1 feature_2  interaction
266       V11       V14     0.033499
119        V4       V14     0.029300
248       V10       V14     0.023553
94         V3       V14     0.019098
283       V12       V14     0.017888
245       V10       V11     0.016009
115        V4       V10     0.013344
116        V4       V11     0.011234
264       V11       V12     0.011145
92         V3       V12     0.009146, 'interaction_fraud_mean':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_fraud_median':   feature_1 feature_2  interaction
0      Time        V1          NaN
1      Time        V2          NaN
2      Time        V3          NaN
3      Time        V4          NaN
4      Time        V5          NaN
5      Time        V6          NaN
6      Time        V7          NaN
7      Time        V8          NaN
8      Time        V9          NaN
9      Time       V10          NaN, 'interaction_normal_mean':     feature_1 feature_2  interaction
266       V11       V14     0.027807
119        V4       V14     0.027221
248       V10       V14     0.022993
283       V12       V14     0.021320
94         V3       V14     0.016204
245       V10       V11     0.014690
116        V4       V11     0.013556
229        V9       V14     0.012765
115        V4       V10     0.011883
264       V11       V12     0.011633, 'interaction_normal_median':     feature_1 feature_2  interaction
266       V11       V14     0.033499
119        V4       V14     0.029300
248       V10       V14     0.023553
94         V3       V14     0.019098
283       V12       V14     0.017888
245       V10       V11     0.016009
115        V4       V10     0.013344
116        V4       V11     0.011234
264       V11       V12     0.011145
92         V3       V12     0.009146}"
