train_size,train_samples,balancing,threshold_mode,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
Default,227845,None,default,0.9995962220427653,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9630272515590367,0.8733910547021404,56859,5,18,80
Default,227845,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9630272515590367,0.8733910547021404,0,56864,0,98
Default,453636,SMOTE_Tomek,default,0.9994557775359011,0.8316831683168316,0.8571428571428571,0.8442211055276382,0.969252721136288,0.8728763851093513,56847,17,14,84
Default,453636,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.969252721136288,0.8728763851093513,0,56864,0,98
1%,2278,None,default,0.9990168884519505,0.8088235294117647,0.5612244897959183,0.6626506024096386,0.9374646489152779,0.6839310143847138,56851,13,43,55
1%,2278,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9374646489152779,0.6839310143847138,0,56864,0,98
2%,4556,None,default,0.9989993328885924,0.8153846153846154,0.5408163265306123,0.6503067484662577,0.937124147985024,0.667346209745844,56852,12,45,53
2%,4556,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.937124147985024,0.667346209745844,0,56864,0,98
2%,8812,SMOTE_Tomek,default,0.9992275552122467,0.8375,0.6836734693877551,0.7528089887640449,0.9364151523721475,0.7746617989322799,56851,13,31,67
2%,8812,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9364151523721475,0.7746617989322799,0,56864,0,98
5%,11392,None,default,0.9992977774656788,0.8295454545454546,0.7448979591836735,0.7849462365591398,0.9575346440630276,0.7287810020307836,56849,15,25,73
5%,11392,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9575346440630276,0.7287810020307836,0,56864,0,98
5%,21314,SMOTE_Tomek,default,0.9993504441557529,0.8588235294117647,0.7448979591836735,0.7978142076502732,0.9565082961997403,0.7927020546863306,56852,12,25,73
5%,21314,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9565082961997403,0.7927020546863306,0,56864,0,98
10%,22784,None,default,0.9992451107756047,0.8481012658227848,0.6836734693877551,0.7570621468926554,0.9424603673067427,0.7829357796501802,56852,12,31,67
10%,22784,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9424603673067427,0.7829357796501802,0,56864,0,98
10%,43888,SMOTE_Tomek,default,0.999385555282469,0.8387096774193549,0.7959183673469388,0.8167539267015707,0.9508699776337097,0.7004964666088418,56849,15,20,78
10%,43888,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9508699776337097,0.7004964666088418,0,56864,0,98
20%,45569,None,default,0.9994382219725431,0.875,0.7857142857142857,0.8279569892473119,0.9425828399733556,0.8455954408952715,56853,11,21,77
20%,45569,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9425828399733556,0.8455954408952715,0,56864,0,98
20%,89488,SMOTE_Tomek,default,0.9993328885923949,0.8061224489795918,0.8061224489795918,0.8061224489795918,0.9653687674422612,0.7962918433345498,56845,19,19,79
20%,89488,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9653687674422612,0.7962918433345498,0,56864,0,98
40%,91138,None,default,0.9994733330992591,0.8863636363636364,0.7959183673469388,0.8387096774193549,0.9526977363821161,0.850049504051191,56854,10,20,78
40%,91138,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9526977363821161,0.850049504051191,0,56864,0,98
40%,180716,SMOTE_Tomek,default,0.9993504441557529,0.8144329896907216,0.8061224489795918,0.8102564102564103,0.9703692411826859,0.8286637261504257,56846,18,19,79
40%,180716,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9703692411826859,0.8286637261504257,0,56864,0,98
60%,136707,None,default,0.9995786664794073,0.9512195121951219,0.7959183673469388,0.8666666666666667,0.9476991468365624,0.8573245185089665,56860,4,20,78
60%,136707,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9476991468365624,0.8573245185089665,0,56864,0,98
60%,272038,SMOTE_Tomek,default,0.999420666409185,0.8155339805825242,0.8571428571428571,0.835820895522388,0.9550757697564113,0.8585688320755014,56845,19,14,84
60%,272038,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9550757697564113,0.8585688320755014,0,56864,0,98
80%,182276,None,default,0.9995786664794073,0.9512195121951219,0.7959183673469388,0.8666666666666667,0.9526554765828672,0.8635501596061795,56860,4,20,78
80%,182276,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9526554765828672,0.8635501596061795,0,56864,0,98
80%,362916,SMOTE_Tomek,default,0.999403110845827,0.82,0.8367346938775511,0.8282828282828283,0.9593475984231623,0.8582057110279613,56846,18,16,82
80%,362916,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9593475984231623,0.8582057110279613,0,56864,0,98
90%,205060,None,default,0.9995611109160493,0.9397590361445783,0.7959183673469388,0.861878453038674,0.95804983677489,0.8621894115171235,56859,5,20,78
90%,205060,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.95804983677489,0.8621894115171235,0,56864,0,98
90%,408230,SMOTE_Tomek,default,0.9993153330290369,0.7920792079207921,0.8163265306122449,0.8040201005025126,0.9696702946091212,0.8690895829780875,56843,21,18,80
90%,408230,SMOTE_Tomek,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9696702946091212,0.8690895829780875,0,56864,0,98
